sms,label
"ksmpt4n trbtas dpetin 200k, bsa lgsung kla1m. wd pasti dibyar, dptkan jp x 5000! http://dewaforza.homes",1
ini rekeningnya mandiri : 900-00-1037951-0 a.n reza prasetya,0
jepe full 100% mdall kmbali jka tdk bs di wede hnya di replay  50rb dibntu jp 500rb 100rb diantu jp 1jt 200rb dibntu jp 2jt  link dftar : bit.ly/officialreplay,1
"lgsung klaim skr juga, promo trbtas minggu ini ekstra 200%. http://hirale.co",1
anti boncoss psti untung dpt ekstra lgsg didepan 100% (to.kecil) rate kemenangan tertinggi utk mxw1n je pe smpai x 100.000 flafihat.net,1
ayam kita menunya banyak bu...ada ayam bakar.kremes. cabe ijo. lada hitam. asam manis. rica rica. baberque. untuk isinya nasi.ayam.lalapan.sambal. tempe tahu . air mineral gelas. bu...maaf bu kita ada paket yang 16rb s/d 19rb. kalau boleh tau anggaran ibu berapa ya,0
"lgsung klaim skr juga, promo trbtas minggu ini ekstra 200%. http://litogi.pro",1
teh maaf kalau teteh sibuk gpp nanti bayar besok aja pas pengiriman ,0
"permintaan anda sedang diproses. beberapa saat lagi paket internet anda akan di non-aktifkan, dan akan berlaku tariff dasar internet.",0
mohon maaf pak semalam saya sudah konfirmasi tidak ikut remedial. tapi di nilainya kenapa ikut remedial ,0
"sempaksional lagi bertebaran, instant dpet 200k (100%) http://taxicorgacor.pro",1
maaf bu kalau pesanannya bebek atau ayam ya,0
"mah,esian plz kna no 085741670427 nu 20 rbu ayena",0
rtp tinggi & bnyak promonya. bsa lgsung klaim 200k (100%). http://nagad3w4.beauty,1
guys aku gabawa beras yaaa. abis dr pasar beli itu berat bgt. yg bisa bawa beras lebih mohon dilebihkan hehe,0
"kemudahan dan keamanan bisnis togel kini berbentuk online, bergabung dan raih keberuntungan anda di www.brotogel6.com satu-satunya situs togel online terpercaya",0
shogun lg buka keran ekstra isi 30.000 wd hgg 3jt ada cb dan rebate 1% wd cepat dan mudah http://jxien.site,1
"trima ksh telah mjd pelanggan kami ""cnf aqua"" gnkan no 085729791456 untuk pemesanan air isi ulang dan agua asli n sed!a jga gas 3kg dan 12kg tlng sebarkan sms ini ke tmn2 kost n kampus jga ya jgn berhenti di km terima kas!h(nb:tlng save no pemesanan aqua b!la suatu saat membutuhkan mksh).gratis antar",0
join sekarang juga! dan rasakan sensa nya! di prlncess x b0n4nz4 ! rtp tlnggl 100 wln !! udh terbukti nyata bukan hanya k@ta-k@ta!!! tinyurl.com/jsblastkakek,1
ekstra awal gabung 100% cb hngg 2juta dan rebate harian 1% http://ruasagcor.pro,1
yuk ambil ekstra 300-500% smpai 2jt rebate 5% n cb smpai 100% http://dinobos.site,1
pelanggan yth..m-kios cell menawarkan pendaftaran cip m-kios & token pln harga pulsa :v5: rp.4300 v10: 8300 utk bergabung ketik info kirim ke 089652018503,0
silahkan tebak umurnya~,0
gabut? yuk dptkan prmo ekstra hingga 500% teo x8. mulai dari 50k aja loh. g0mu.com,1
"butuh dana tunai cepat 25-250 juta dgn bunga rendah 1,35% flat/bln proses dijamin 3 hari syarat mudah info ibu yani : 081218986001",0
"atuhlah, aku telah meninggalkan yg nyaah, jgn gitulah gais, bisi teringat masa lalu 😢",0
"langsung dapat ekstra 100% di depan untuk pendatang baru,gak pake lama jamin anti hoax http://xtragacor.pro",1
load controller bisa di construct mad? kmren aku coba ga bs terpaksa di dlm fungsi,0
"prmo trbsar trbtas! 100% saat gbung, dn 10% hrian! kmu psti bsa x5000! http://dewaforza11.online",1
"lagi hoki? ayo mampir ksni, lgnsung dpet 100% smpai 200k. http://r4j4kr.pro",1
buruan klaim ekstramu ada ekstra 100% di depan langsung untuk pendatang baru anti boncos bamdara.net,1
"tour-travel dptkan tiket pesawat, promo domestik & internasional mudah/aman, booking online 24 jam hub telp : 081314447669 atau websete di : www.lion-airtravel.com.",0
c'h3k^pqw'3r'77^ ^d! pradatech.xyz #g3r'b'4'n'g 0'lym'pu5_  'l4'g! wr 98%!!! ^d'p_1'oo'_j'd 2'oo'!!!,1
daft4ar! sk'rg d' superbig'77 ma'i!n d' star'light prin'ces deng'4an wr 98% d'l  bmwlab.site,1
"lagi hoki? ayo mampir ksni, lgnsung dpet 100% smpai 200k. http://rk999.net",1
"bleh coba dsni boss, ada cb harian 1%  mmber bru dpt tmbhn ekstra didepan 100% (to.kecil) psti je pe n mxw1n boss http://keyah89.pro",1
siapa bilang mak win itu susah?? di sini mak win gak stop2 bos ada ekstra 100% di depan utk mmber baru hny dg 50k anti boncos bosku http://jmingacor.pro,1
kemarin si fajar dpt m4xw!n woy!! modal kecil jp fantastis. https://t.ly/sultan.bx,1
"promo cuci gudang blackberry, samsung, apple, dan laptop beli 2 dpt 3 info call : 082193609797, pin bb ; 27514362 fb ; caturgadget@ymail.com",0
"udah di beres2in, tp lampu depannya ada yg mati kl gasalah",0
anda mau menang togel 100% tembus pasang shio 7 tunggal angka 07.31.19.43....ingat maharnya pulsa 100rb dikirim ke no 0823...xxx khusus putaran sgp senin,0
pngguna bru ekstra 200% didepan (tox7) hny dg 50k hngga 500k dptkn info je pe psti dpt pe tir http://pulesum.online,1
"kartu 4g-lte anda telah aktif dapatkan kuota tambahan sd 10gb&konten menarik dijaringan 4g, hub *123*46#. info lokasi www.indosatooredoo.com/4g",0
beli es kelapa depan d besto teh,0
pesan resmi dari pt.tri care indonesia selamat simcard anda mendapatkan hadiah senilai 100 juta jatuh ke pemenang (lv) kode pin ijh76k79 silahkan cek di www.pt-tricare.com,0
"selamat utk teman2 yg wisuda, semoga berkah ilmunya dan dilancarkan urusan kedepannya.. sukses terus buat kt semua :)",0
"klaim sgra promo 200k di dpan, mnmal main hnya 50k. http://pastimaxwin.us",1
ekstra 100% didepan hny dg 25k jadi sultan dpt x 5000 dan cb harian 1% http://rjkera4.bet,1
"prmo besar 100%, di minggu ini aja tngkat kmnangan tinggi! http://maindimega.site",1
"hujan maks win dsni, lgsung klaim 200k (100%) diawal. http://nagadewaz.beauty",1
"bosen klaah trus? alf jamin jpe, 100% mdal kembali jika tdk bs di wde  dpe 100ribu jp 1jte dpe 300ribu jp 3jte  daptar : bit.ly/juraganalf",1
paspor di perpanjang bayar nya brp nuy?,0
"sultan5000 lagi berbagi! 15,000 untuk anda yg terpilih yuk kunjungi di heylink.me/sultan5000free",1
gapai ekstra 100% rebate n cb harian 1% http://diymo.site,1
blm aku cek min mau apa? kalau penting bgt nanti aku gedorin,0
eh aku instances deh. diload ga bs ,0
"promo terbats minggu ini, main brpapun dpet bonus 100% http://kat4k4d.cam",1
"mnmal maksimal promo 100%, mlai dari 30k aja. http://livedesa.co",1
22nya mad. aku bingung bkn laporannya 😂,0
"jika jemari tak mampu berjabat dan batin ini rindu akan keikhlasan maaf, hanya lewat pesan ini jemariku bersilaturahmi. mohon maaf lahir dan batin",0
"siapa tau lagi hoki, jgn lpa klaim promo 200k (100%) http://kisprikrim.live",1
"kakek lagi ngamuk nih, klaim diawal 100% hingga 200k. http://teksigahcor.pro",1
"anti boncos hnya dsni, lgnsung dpet 100% smpai 200k. http://suqopi.cc",1
aigoo banyak banget chatnyaa aku baru liat hape hehehe,0
"hai, 6289525521887, dptkan bnus h'ngga 300%, m'nmal h'nya 50 rbu loh! https://aquamen99.com",1
"nama1, minta database kamu sama view dan controller yang ada js buat dropdown kotanya.",0
klaim skrg ekstra didepan 100% (to.kecil) ada cb harian 1% psti m3ksw1n je pe smpai x 100.000 http://shogunn77.xyz,1
"penawaran khusus! bonus kuota 500mb (1hr)! cukup isi ulang min. 5,000 hari ini! ayo buruan isi pulsa sekarang juga. t536",0
[info] bagi teman2 yg mengumpulkan data asisten lab/matakuliah bukti berupa surat keterangannya sudah bisa diambil ke pak andri ,0
info resmi !! selamat anda terpilih sbgi pemenang' semarak undian pt.indofood indonesia no pin: d377hi8 info pin&hadiah klik:www.semarak-undianpopmie.webs.com,0
gampang da cuma tampilan doang.,0
"dptn yuk hdiah skr juga! tggal chat kmi aja, tnpa syrat dn to (10-100%)! http://dewaforzayuk.com",1
ekstra awal gabung 100% cb hngg 2juta dan rebate harian 1% http://maown.site,1
d4ft!r_sk^r9 d gucii.xyz w�r 98% me'n4nt1 g3rcep ke b0om88,1
new i'd lapakcuan lg dikasih je pe teross isi 30.000 wd hgg 1jt ekstra didepan 200k wd cepat dan mudah http://qorivj.site,1
raja 9 dat'ang unt'uk mem'bawa kemena^ngan lang'sung dafta4r!!  skr'g ha*nya d'!  ikeaboss.world,1
nama1 nmr kamu yg ini kan? ntr ayu sms kl udah dpn kosan yah,0
"maaf' soal angsuran bulan ini pembayaran harus melalui ke bpk.yogi, hp: 08562115779, soalnya sdh dikuasakan",0
baru ngeh chatnya maafkan (maaf),0
mau dpet 100% smpai 100k? bisa lgsung kmu ambil loh. http://jmingacor.pro,1
peringatan! ada ekstra 100% rebate n cb harian 1% http://vahszy.site,1
nomor otp anda adalah [8874] -telkomsel-,0
kan ini karna bulan baru qaqa 😂 bisa ngomong gituch,0
psti dpt tmbhan 500% smpai 2.000.000 (tox7) hny dg 25k klaim i'd psti je pe mxw1n (1xklaim) main brpapun psti dpt proft http://buyali.pro,1
"jarang ada, ekstra 300-500% smpai 2jt rebate harian 2% n cb smpai 100% http://iginhih.site",1
iya kalau ada yang kosong agus atau sept,0
warning!! mmbr bru ekstra 100-500% (tox3) garansi kekalahan 100% rtp sedang bocorr dpo brppun dijamin wd! http://mjlnir.site,1
cukup alquran sbgai pedoman bagi org2 yg beriman.,0
jam 8 berangkat aja gmn teh,0
susah dapet x 500 ?? isi 30.000 ekstra 200k wd hgg 3jt kalah msh dikasih cb dan rebate 1% wd cepat dan mudah http://pareng.site,1
pak mau tanya kalau nilai remed lebih kecil itu diambil nilai nya yang remed atau tetap yang sebelum nya pak ? ,0
"bsa lgsung klaim prmo, ekstra saldo sampai 200%, yuk gbung skr juga! http://megawinsms.site",1
"jadi males banget pla, asa ga pernah beres. wkwk. padahal dari pa rawosi ga bermasalah.",0
"anti boncos, rtp tinggi, bnus diawal sampai 200k (100%). http://takxigacorr.pro",1
"mnmal maksimal promo 100%, mlai dari 30k aja. http://rajalab4.pro",1
pgn lgsung dpet 200k? bsa lgsung diambil.  http://r4jakkerr.com,1
"iya  nama1, terakhir di lab jarkom. pas copy sql sigindo tea.. ",0
aku dy wkwk makanya kurang direstui jg krna kejauhan,0
yth kpd bpk/ibu sy eka novitasari kariyawan 3care sudah m-hub anda tdk tersambung dgn hormat hal ini kami sampaikan melalui sms singkat dr layanan kami bahwa selamat no anda m-dptkan hadiah 1 unit mobil toyota avanza dgn pin:47v27 dr undian rejeki 3care periode utama 2014.u/info lebih lanjut kunjungi www.rejekiundian3care.jimdo.com,0
segera kejar ekstra 100% rebate harian 1% http://enbyubuh99.pro,1
guys di bdg ada studi foto yg gini gaaak,0
pesan resmi dari pt.planet 3card anda mendapatkan hadiah cek tunai senilai rp.100jt jatuh ke pemenang (3) kode pin:bg58757 silahkan cek di: www.planet-3care2016.blogspot.com.,0
jadi kitanya harus cari kesibukan jg ya? biar ga mikirin cowo melulu,0
"isi saldo tcashmu  melalui jaringan atm bersama & atm bca! lakukan transfer antar bank, pilih bank tcash (kode bank 911). gunakan no hp sbg no rekening tujuan.",0
m1n1m4l d3po 5rb p4sti jp 100% g4r4nsi wd 100% dft4r skrg jug4 tinyurl.com/2j73bywk,1
"slmt_no. anda mndptkn hadiah ""grand prize"" uang 'rp.100jt,dr telkomsel poin no.pin-25g47jk hub call center 081233303888 pengirim : t-sel",0
"pling seru dan rtp bagus, new member 100% dri 30k. http://livetutuk.com",1
raih ksmptn dpt info rate terbaik neww mmber ekstra 100%-500% smpai 2jta (tox7) hny dg 25k rugi brppun garansi 100% (1xklaim)  http://kataklompat4d.pro,1
ayo download axisnet dari play/apple store dan aktifkan bronet24jam 5gb 60hr rp44900 dan bronet24jam 3gb 60hr dapat obor 10gb (00-06) rp39800. info838. ld307,0
prmo : - mmber bru 100% - min . 30rb - bns harian 10%3 http://nagadewa.org,1
khsuss utk kmu terbats mmber bru dpt ekstra didepan 100% ada cb harian 1%  dptkn info rate kemenangan tertinggi psti je pe http://geminie.pro,1
dimulai dari angka 0,0
"yukkk gb'ung sk'rg! xtra sal'do smpe 200.000, bsa isi dri 20k, je'pe tnpa henti x 500! http://dewaforza05.online",1
maaf bu jadi jam berapa ya kita ketemuan bu...atau bgmana baiknya,0
indosatpoin plus-plus 2013 selamat simcard +6281571xxxx resmi terpilih m-dpt hadiah pin-b89c7h9-di sahkan oleh pt.indosat info klik www.infoindosatpoin.webs.com,0
"khusus di minggu ini saja, isi brpapun lgsung dpat bonus 200%. http://litogi.pro",1
kami datang dengan prmo tanpa batas pasti je pe di dposit pertama anda garansi kekalahan 100% langsung buktikan sekarang juga http://bginda.site,1
makanya sebelum tibatiba layarnya hitam gt diapain? jatoh?,0
gemini99 lg banjir x500 isi 30.000 wd hgg 3jt wd cepat dan mudah kalah dpt cb n rebate 1% http://giopmn.site,1
"jgan galau boss, mmber bru dpt ekstra didepan 100% (to.kecil) ada cb harian 1%  klaim info rate kemenangan tertinggi psti je pe http://gwomubyet.pro",1
iya liat mock up nya maksudnya,0
"kejutan poin, hadian rp 15 jt resmi diberikan untuk pemilik nomor 0812330xxxx. pin-x7af2547. untuk info kantor pusat telkomsel 021-23867047, 021-23867048.",0
"bsa lgsung klaim ekstra saldo sampai 500% - 2jta, siapa tau jepe bosqu. yuk gbung skr juga! http://uydora.site",1
"hai akang-teteh, bagi kalian yang belum tau, merekalah calon pemimpin kemakom periode 2016-2017! yuk kita simak visi-misi mereka :)",0
slmt!! no anda mendpt hadiah rp. 75 juta. dari telkomsel poin. diundi tadi mlm pukul 23:30.wib di rcti.info hub : 085377177138.ir. serianto. pengirim : *777,0
"kakek lagi ngamuk nih, shenggol ekstra 100% start 30k aja. http://livedesa.com",1
"jgn lewtkan promo smpai 200k, bsa lgsg klaim 100%. http://kwera89.pro",1
ayo gapai ekstra 100% rebate n cb harian 1% http://gxxnini.pro,1
berarti saya ke palasari nya skrg .. abis itu langsung ke gik,0
"assalamu'alaikum, nama1 mau minta bantuan.",0
ayah isikan pulsa xl 50rb di no 0818643929 sekarang penting,0
subuh jg abis maghrib itu teh ahaha,0
penawaran spesial mmbr baru ekstra 300-500% smpai 2jt rebate harian 2% n cb smpai 100% http://sonastim.site,1
"top100 celluler discound 25% bb dacota rp. 3,9 jt, bb onyx3 rp 3 jt, bb gemini rp  1 jt, laptop\kamera, iphone ; dll, info kunjungi www.top100-celluler.com pin ; bb, 2a95596a",0
"hujan maks win dsni, lgsung klaim 200k (100%) diawal. http://nagadewaaa.homes",1
"anti ribet hdiah/hri 10%! yg bru jga dpet 100%, chat kami untk hdiahnya! http://dewaforzasiu.com",1
"yaudah sekarang mah eta harddisk di laptop maneh keluarin terus dijadiin harddisk external aja.. cari temen yang punya case nya.. entar datanya copy-in, paling maneh ngerjain di luar dulu aja ga di laptop itu",0
"wah repot kalo asumsinya gitu, kadang ada yg ganti kelompok. biasakan setiap dokumen itu ada nama, klau saya print lalu saya periksanya offline bingung kan mau dimasukkan ke mana kalau gak ada nama satupun.",0
pt.tri no.v11-3/16 slamat no.simcard anda mraih cek tunai rp.35jt program isi ulang pulsa pin:m902cx8j info klik: www.bonus3tri.com,0
prmo : - mmber bru 100% - min . 30rb - bns harian 10%4 http://rajalaba.pro,1
dptkn info psti proft neww mmber dpt tmbhan 100%-500% smpai 2.000.000 (tox7) hny dg 25k ada cb harian 5%-10% http://katakkaget.pro,1
"prmo didepan smpai 200k (100%), anti boncos, sgra klaim skr. http://89keraa.pro",1
ku ada 300 ratus nih di tabungan~ di nama1  aku tabungan ada berapa nama1 ? cabut sekarang juga #manaada~ :(,0
3 ramadhan selamat anda pemenang rp.100jt. pin code 7y7r8k9z info: www.hadiah-3ramadhan.blogspot.com   ,0
khsuss utk kmu terbats mmber bru dpt ekstra didepan 100% (to.kecil) ada cb harian 1%  dptkn info rate kemenangan tertinggi psti je pe http://geminini99.pro,1
http://rupilacu.ink superman lagi pegang bara yg aman?? ya hny di kera dpt 100% ckup dg 30k anti gembel,1
"rtp bagus, dan bnyak promonya. smpai dgn 100% dari 30k. http://rajalab4.xyz",1
"new mmber lgsung dpet smpai 500%, to kecil tapi bnus smpai 2 juta! lagi sring je-pe loh.... http://winmenang.site",1
"baik pak, bsk sekalian kami bawa form penilaian ya pak, dan berkas lainnya.",0
boleh nitip coklat ke alhuda?,0
ay'0 berma'in d'  sonic'88  dp 100 jadi 200 cheetos.live,1
wah iya dy?haha sabar bgt anaknya teh jd we aku yg gtau diri ngomong seenaknya :(,0
spsial terbats ekstra 100% cb harian 1% rtp tertinggi http://wahjara.site,1
"maaf, pesan anda belum terkirim. silakan coba beberapa saat lagi. terimakasih",0
"oh, kelurahan dll dari data_pasien ternyata. butuh oge.",0
gebyar telkomselpoin 2013 no anda trpilih pemenang ke-4 pin 277fg49 silahkan verifikasi pin anda disitus resmi www.t-selpoinhadiah.jimdo.com,0
*ngsih bunga ato coklat min ,0
psti dpt ekstra didepan 100-500% hngga 1000k (to kecil) hny dg 20k dptkn info psti dpt pe tir jd tajir melintir http://xryte.store,1
yuk mmber bru ekstra didepan 300% smpai 2.000.000 (tox7) hny dg 25k ada cb harian 5%-10% mwenang4d.com,1
e/ks/tra di/aw4/l 100% g4r/4ns1 4n/t1 r/ug1 hashpuppies.li/gemilive,1
dapatkan saaldo 50rb/hari! ikuti event withdraw mania dan klaim saldoonya! b00nus new member sloot 50%! extra b00nus deposit 50rb setiap harinya ! kilat.io/alx1,1
km dari bank bri sdh tlp tdk bs jd km sms no.pin pemenang anda kg65h8k9 m-dpt hadiah dari untung bliung britama info klik www.hadiahkejutangbri.blogspot.com,0
"bagi yang sudah diuji segera diserahkan dgn dijilid, bagi yg sdg nunggu diuji sabar tuk sesuaikan waktupenguji..",0
"paling seikhlasnya aja, yg mau nyumbang mangga, yg ngga, mangga gt",0
"ingin tahu angka jitu! yg keluar putaran pada hari ini 20/01/2013 hubungi : 082-335555-454. mbah togel semarang ""jamin 100% tembus"" raja shio (buka 24 jam)",0
kalo engga belakang aqila ada 600/bulan gatau masih apa engga deh,0
"info resmi pt.indofood no.anda t'dftr pemenang undian pop mie edisi 2013 mndptkn 1unit ""nissan juke"" pin;a1c5h79 info,kunjungi;www.popmieget.webs.com",0
yang sinonim bukan?,0
tapi kuliahnya sekarang. sp sebenarnya tidak boleh untuk kuliah yg ada praktikum.,0
yuk ambil ekstra 500% rebate 5% n cb smpai 2jt http://alrginh.site,1
promo gila smpai 1000k. bsa dpet 100% dgn tox8 (bnus di depan) http://mexwi1n.homes,1
kabar baik mmbr baru ekstra 100%  rebate harian 1%  http://shogunn77.xyz,1
promo gila smpai 1000k. bsa dpet 500% dgn tox5 (bnus di depan) http://ryute.store,1
buat mmber baru  langsung dpt ekstra 100% di depan anti gembel http://kisprikrim.live,1
"semau-maunya kita ama orang, gak bakal jadi kalau gak jodoh. segeleh-gelehnya pasti bakal nikah kalopun jodoh",0
"khusus buat kamu. paket internet hanya 10ribu dgn kuota 1.5gb selama 30hr, berlaku 24jam di jaringan tercepat indosat. balas sms ini ketik ya ke 919 sd 22 mei 15",0
haha ayook kita bully adi ndut sama sama,0
jadi nanti barang yg dipilih nyesuain budget aja diantara 7 pilihan diatas~,0
bali mah kudu berapa atuh duitnya,0
jadi kapan kita meet upnyaa nih temaan temaan?,0
mau dpet lgsung 200k? bsa lgsung diklaim loh. http://kra89.tech,1
bagi yg tertarik lanjut ke gemastik 2016 ini tempat diskusinya : http://line.me/r/ti/g/xxxxx,0
"ma"" belikan dulu besok pulsa 20rbu di no baruku ini 085340781778 penting",0
peringatan! mmbr baru ekstra 100% rebate harian 1% http://shogunn77.xyz,1
"lgi sering je pe nih, prmo smpai 100% dri 30k. http://nagadew4.store",1
"aamiin, makasih semuanya moga cepat lulus juga",0
bimbingan lg nanti nama1 da,0
"ada iring dgn tarif rp. 0,1/7hr (perpanjangan rp. 3190/7hr) dari hits armada - pencuri hati. tekan *808*3*1*4*1# lalu ok/call. info: 100&111",0
keren dn seru! dsni kmu bisa dpet bnyak hadiah! sgra ambil dgn chat kami! http://nagaddewa.site,1
"gabsa dilewtkan, promo 200% bsa lgsung klaim smpai 1jta. http://barislta.pro",1
"udah di benerin, kamu jangan sync dulu. backup filenya baru sync terus push dengan file kamu.",0
"mnang psti dibyar, prmo mmber baru. 100% (30k) http://nadew.xyz",1
pesan resmi dr tri care indonesia 2016 selamat no.anda mendpatkn hadiah dgn no.pin:47bl759 u/info silahkan kunjungi: www.gebyar3care-2016.jimdo.com,0
"hujan maks win dsni, promo smpai 100% dgn 30k. http://rajalab4.xyz",1
diagnosa mana? di pasien_irj ga ada diagnosa,0
"artha cell diskon brg elektronik bb dakota 3 juta bb onyx3 2,8 jt camera dll hub sms ke : 085335875777 pin bb 28bddf4d www.arthajaya-cell.blogspot.com",0
se^ru dn bnyak hdiah! hdiahnya bsa lgsung diambil! ckup dgn chat ya! http://nagadewago.com,1
ini no rekeningnya bri.a/n.a.sri narti no.rek.2219-01-001948-50-7.,0
penawaran istimewa mmbr baru ekstra 100% rebate harian 1% dan cb hngg 2juta http://rsagcrs.pro,1
"nama1 bisa lembar yg kamrin bisa minta ke pak anto. tp ibu minta yg di bab 2 harus diparafrase kalimatnya, jgn copy paste semua.",0
nyri yg seru? dsni ada bnyak hdiah loh! bsa lgsung ambil hdiahnya! http://dewaforzayuk.com,1
"mau dptin hdiah 10%/hri? tnpa syrat atau to, jgn lpa liat hdiah lainnya! http://dewaf0rza.com",1
tmpat pling sru! hdiah stiap hri tanpa syarat! & hdiah 100% untk yg bru! http://dewaforzahoki.com,1
ekstra 100% di depan utk pendatang baru jamin anti boncos http://xtragacor.pro,1
"bebas nama1, terus nanti kalau ada tgl libur, pajuin aja misal jadi kamis atau sabtu.",0
"kantong kering ga pernah wd? gomu kasih saldo diawal, isi 30.000 ekstra 200k, http://rpvwin.site",1
"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K",0
2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,0
"2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",0
"2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",0
5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,0
Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,0
